player,team,competitions,matches,shots,xg,goals,xg_per_match,goals_per_match,shot_accuracy
Lionel Andrés Messi Cuccittini,Argentina,FIFA World Cup 2022; Copa America 2024,12,48,10.4319,10,0.8693,0.8333,0.208
Kylian Mbappé Lottin,France,FIFA World Cup 2022; UEFA Euro 2024,12,56,7.5236,10,0.627,0.8333,0.179
Cristiano Ronaldo dos Santos Aveiro,Portugal,FIFA World Cup 2022; UEFA Euro 2024,10,36,6.4756,3,0.6476,0.3,0.083
Lautaro Javier Martínez,Argentina,FIFA World Cup 2022; Copa America 2024,11,26,5.7935,6,0.5267,0.5455,0.231
Harry Kane,England,FIFA World Cup 2022; UEFA Euro 2024,11,30,5.3848,5,0.4895,0.4545,0.167
Kai Havertz,Germany,FIFA World Cup 2022; UEFA Euro 2024,6,24,4.9337,4,0.8223,0.6667,0.167
Yoane Wissa,Congo DR,AFCON 2023,6,21,4.2417,3,0.707,0.5,0.143
Julián Álvarez,Argentina,FIFA World Cup 2022; Copa America 2024,10,21,4.2341,7,0.4234,0.7,0.333
Robert Lewandowski,Poland,FIFA World Cup 2022; UEFA Euro 2024,4,17,4.1152,3,1.0288,0.75,0.176
Breel-Donald Embolo,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,6,14,3.9609,4,0.6601,0.6667,0.286
Jonathan David,Canada,FIFA World Cup 2022; Copa America 2024,8,18,3.7161,4,0.4645,0.5,0.222
Teboho Mokoena,South Africa,AFCON 2023,7,22,3.5112,3,0.5016,0.4286,0.136
Romelu Lukaku Menama,Belgium,FIFA World Cup 2022; UEFA Euro 2024,5,16,3.4353,0,0.6871,0.0,0.0
Mostafa Mohamed Ahmed Abdallah,Egypt,AFCON 2023,4,15,3.2903,4,0.8226,1.0,0.267
Olivier Giroud,France,FIFA World Cup 2022; UEFA Euro 2024,6,19,3.1929,4,0.5321,0.6667,0.211
Memphis Depay,Netherlands,FIFA World Cup 2022; UEFA Euro 2024,8,28,3.133,2,0.3916,0.25,0.071
Victor James Osimhen,Nigeria,AFCON 2023,6,24,3.1126,1,0.5188,0.1667,0.042
José Salomón Rondón Giménez,Venezuela,Copa America 2024,4,19,3.1017,4,0.7754,1.0,0.211
Bruno Miguel Borges Fernandes,Portugal,FIFA World Cup 2022; UEFA Euro 2024,6,19,3.0364,4,0.5061,0.6667,0.211
Emilio Nsue López,Equatorial Guinea,AFCON 2023,4,9,2.9521,5,0.738,1.25,0.556
Lucas Tolentino Coelho de Lima,Brazil,FIFA World Cup 2022; Copa America 2024,5,15,2.9175,2,0.5835,0.4,0.133
Alphonso Davies,Canada,FIFA World Cup 2022; Copa America 2024,8,12,2.8961,2,0.362,0.25,0.167
Ismaïla Sarr,Senegal,FIFA World Cup 2022; AFCON 2023,8,17,2.8672,2,0.3584,0.25,0.118
Enner Remberto Valencia Lastra,Ecuador,FIFA World Cup 2022; Copa America 2024,5,13,2.8138,3,0.5628,0.6,0.231
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,FIFA World Cup 2022; Copa America 2024,5,7,2.8048,4,0.561,0.8,0.571
Álvaro Borja Morata Martín,Spain,FIFA World Cup 2022; UEFA Euro 2024,10,22,2.6765,4,0.2676,0.4,0.182
Aleksandar Mitrović,Serbia,FIFA World Cup 2022; UEFA Euro 2024,5,20,2.6555,2,0.5311,0.4,0.1
Niclas Füllkrug,Germany,FIFA World Cup 2022; UEFA Euro 2024,7,17,2.6033,4,0.3719,0.5714,0.235
Youssef En-Nesyri,Morocco,FIFA World Cup 2022; AFCON 2023,7,19,2.558,3,0.3654,0.4286,0.158
William Troost-Ekong,Nigeria,AFCON 2023,3,6,2.5434,4,0.8478,1.3333,0.667
Bertrand Isidore Traoré,Burkina Faso,AFCON 2023,4,11,2.5324,3,0.6331,0.75,0.273
Randal Kolo Muani,France,FIFA World Cup 2022; UEFA Euro 2024,6,8,2.5013,3,0.4169,0.5,0.375
Rodrigo Bentancur Colmán,Uruguay,FIFA World Cup 2022; Copa America 2024,5,7,2.4958,4,0.4992,0.8,0.571
Luka Modrić,Croatia,FIFA World Cup 2022; UEFA Euro 2024,8,12,2.4909,2,0.3114,0.25,0.167
Daniel Olmo Carvajal,Spain,FIFA World Cup 2022; UEFA Euro 2024,10,29,2.4622,4,0.2462,0.4,0.138
Bernardo Mota Veiga de Carvalho e Silva,Portugal,FIFA World Cup 2022; UEFA Euro 2024,5,10,2.4213,3,0.4843,0.6,0.3
Leandro Daniel Paredes,Argentina,FIFA World Cup 2022; Copa America 2024,6,7,2.42,2,0.4033,0.3333,0.286
Gonzalo Ariel Montiel,Argentina,FIFA World Cup 2022; Copa America 2024,3,4,2.3711,3,0.7904,1.0,0.75
Percy Tau,South Africa,AFCON 2023,4,12,2.3318,1,0.5829,0.25,0.083
Chancel Mbemba Mangulu,Congo DR,AFCON 2023,5,7,2.3082,2,0.4616,0.4,0.286
Jude Bellingham,England,FIFA World Cup 2022; UEFA Euro 2024,7,12,2.2889,4,0.327,0.5714,0.333
Samuel Moutoussamy,Congo DR,AFCON 2023,6,9,2.2764,2,0.3794,0.3333,0.222
Federico Santiago Valverde Dipetta,Uruguay,FIFA World Cup 2022; Copa America 2024,9,24,2.2736,3,0.2526,0.3333,0.125
Cédric Bakambu,Congo DR,AFCON 2023,6,10,2.2253,1,0.3709,0.1667,0.1
Nikola Vlašić,Croatia,FIFA World Cup 2022,5,7,2.1956,2,0.4391,0.4,0.286
Ricardo Daniel Pepi,United States,Copa America 2024,2,7,2.1585,0,1.0792,0.0,0.0
Rodrygo Silva de Goes,Brazil,FIFA World Cup 2022; Copa America 2024,7,17,2.1487,0,0.307,0.0,0.0
Franck Yannick Kessié,Côte d'Ivoire,AFCON 2023,5,11,2.1391,3,0.4278,0.6,0.273
Neymar da Silva Santos Junior,Brazil,FIFA World Cup 2022,3,12,2.1293,2,0.7098,0.6667,0.167
Luis Alberto Suárez Díaz,Uruguay,FIFA World Cup 2022; Copa America 2024,5,8,2.0942,2,0.4188,0.4,0.25
Meschak Elia,Congo DR,AFCON 2023,4,7,2.079,1,0.5198,0.25,0.143
Darwin Gabriel Núñez Ribeiro,Uruguay,FIFA World Cup 2022; Copa America 2024,9,24,2.0776,2,0.2308,0.2222,0.083
Jamal Musiala,Germany,FIFA World Cup 2022; UEFA Euro 2024,8,21,2.0535,3,0.2567,0.375,0.143
Evidence Makgopa,South Africa,AFCON 2023,7,13,2.0531,1,0.2933,0.1429,0.077
Ismael Koné,Canada,Copa America 2024,3,7,2.029,2,0.6763,0.6667,0.286
Georges Mikautadze,Georgia,UEFA Euro 2024,3,6,2.0251,3,0.675,1.0,0.5
Antoine Griezmann,France,FIFA World Cup 2022; UEFA Euro 2024,9,18,2.0156,0,0.224,0.0,0.0
Andrej Kramarić,Croatia,FIFA World Cup 2022; UEFA Euro 2024,7,14,2.0148,3,0.2878,0.4286,0.214
Achraf Hakimi Mouh,Morocco,FIFA World Cup 2022; AFCON 2023,8,11,1.979,2,0.2474,0.25,0.182
Phil Foden,England,FIFA World Cup 2022; UEFA Euro 2024,7,18,1.9757,1,0.2822,0.1429,0.056
Cristóvão Paciência Mabululo,Angola,AFCON 2023,5,14,1.9331,3,0.3866,0.6,0.214
Alexis Mac Allister,Argentina,FIFA World Cup 2022; Copa America 2024,7,14,1.9104,2,0.2729,0.2857,0.143
Baghdad Bounedjah,Algeria,AFCON 2023,3,9,1.8909,3,0.6303,1.0,0.333
Sébastien Haller,Côte d'Ivoire,AFCON 2023,4,11,1.8837,3,0.4709,0.75,0.273
Bukayo Saka,England,FIFA World Cup 2022; UEFA Euro 2024,8,16,1.88,5,0.235,0.625,0.312
İlkay Gündoğan,Germany,FIFA World Cup 2022; UEFA Euro 2024,4,13,1.875,2,0.4687,0.5,0.154
Silas Katompa Mvumpa,Congo DR,AFCON 2023,5,5,1.8459,2,0.3692,0.4,0.4
Tanitoluwa Oluwaseyi,Canada,Copa America 2024,4,9,1.7761,0,0.444,0.0,0.0
Marko Livaja,Croatia,FIFA World Cup 2022,4,7,1.774,1,0.4435,0.25,0.143
Gonçalo Matias Ramos,Portugal,FIFA World Cup 2022; UEFA Euro 2024,3,8,1.7733,3,0.5911,1.0,0.375
Mohamed Bayo,Guinea,AFCON 2023,4,9,1.7697,3,0.4424,0.75,0.333
Raphael Dias Belloli,Brazil,FIFA World Cup 2022; Copa America 2024,7,16,1.7597,1,0.2514,0.1429,0.062
Lovro Majer,Croatia,FIFA World Cup 2022; UEFA Euro 2024,6,7,1.7521,2,0.292,0.3333,0.286
Moise Bombito,Canada,Copa America 2024,2,5,1.6968,2,0.8484,1.0,0.4
Manuel Obafemi Akanji,Switzerland,FIFA World Cup 2022; UEFA Euro 2024,5,5,1.6662,1,0.3332,0.2,0.2
Ray Kendry Páez Andrade,Ecuador,Copa America 2024,4,11,1.6598,1,0.415,0.25,0.091
Jordan Ayew,Ghana,FIFA World Cup 2022; AFCON 2023,3,4,1.658,2,0.5527,0.6667,0.5
Habibou Mouhamadou Diallo,Senegal,AFCON 2023,3,5,1.6376,2,0.5459,0.6667,0.4
Aubrey Maphosa Modiba,South Africa,AFCON 2023,5,6,1.6345,1,0.3269,0.2,0.167
João Félix Sequeira,Portugal,FIFA World Cup 2022; UEFA Euro 2024,6,16,1.6339,1,0.2723,0.1667,0.062
Richarlison de Andrade,Brazil,FIFA World Cup 2022,4,8,1.6177,3,0.4044,0.75,0.375
Zakhele Lerato Lepasa,South Africa,AFCON 2023,3,3,1.617,1,0.539,0.3333,0.333
Ousmane Dembélé,France,FIFA World Cup 2022; UEFA Euro 2024,9,17,1.6051,1,0.1783,0.1111,0.059
Aurélien Djani Tchouaméni,France,FIFA World Cup 2022; UEFA Euro 2024,11,19,1.5878,1,0.1443,0.0909,0.053
Lamine Yamal Nasraoui Ebana,Spain,UEFA Euro 2024,6,18,1.5872,1,0.2645,0.1667,0.056
Marko Arnautović,Austria,UEFA Euro 2024,3,4,1.5737,1,0.5246,0.3333,0.25
Mothobi Mvala,South Africa,AFCON 2023,2,2,1.567,2,0.7835,1.0,1.0
Salem Mohammed Al Dawsari,Saudi Arabia,FIFA World Cup 2022,3,7,1.5641,2,0.5214,0.6667,0.286
Nicolás Hernán Otamendi,Argentina,FIFA World Cup 2022; Copa America 2024,3,4,1.5552,1,0.5184,0.3333,0.25
Christoph Baumgartner,Austria,UEFA Euro 2024,3,8,1.5509,1,0.517,0.3333,0.125
Sadio Mané,Senegal,AFCON 2023,3,7,1.5441,2,0.5147,0.6667,0.286
Vinícius José Paixão de Oliveira Júnior,Brazil,FIFA World Cup 2022; Copa America 2024,6,13,1.5435,3,0.2572,0.5,0.231
Garry Mendes Rodrigues,Cape Verde Islands,AFCON 2023,4,9,1.5398,1,0.385,0.25,0.111
Lassine Sinayoko,Mali,AFCON 2023,4,9,1.5256,3,0.3814,0.75,0.333
